,,"Distribution of road traffic deaths by type of road user (%)","Distribution of road traffic deaths by type of road user (%)","Distribution of road traffic deaths by type of road user (%)","Distribution of road traffic deaths by type of road user (%)","Distribution of road traffic deaths by type of road user (%)"
"Country","Year","Drivers/passengers of 4-wheeled vehicles","Drivers/passengers of motorized 2- or 3-wheelers","Cyclists","Pedestrians","Other/unspecified road users"
"Albania","2013","50.8","13.2","4.1","31.2","0.7"
"Andorra","2013","0.0","50.0","0.0","50.0","0.0"
"Angola","2013","0.0","1.9","0.0","35.4","62.7"
"Antigua and Barbuda","2013","66.7","0.0","16.7","16.7","0.0"
"Argentina","2013","88.0","0.0","2.0","10.1","0.0"
"Armenia","2013","54.7","0.0","0.3","35.8","9.2"
"Australia","2013","64.2","17.9","4.2","13.2","0.6"
"Austria","2013","42.4","21.5","11.2","18.0","5.9"
"Azerbaijan","2012","62.1","0.5","0.3","30.5","6.7"
"Bahamas","2013","57.7","17.3","3.8","21.2","0.0"
"Bahrain","2013","59.3","3.5","5.8","31.4","0.0"
"Bangladesh","2012","41.5","10.8","1.8","32.2","13.7"
"Barbados","2013","33.3","16.7","11.1","38.9","0.0"
"Belarus","2013","49.2","0.0","7.9","41.6","1.2"
"Belgium","2013","51.9","15.9","10.1","13.7","8.4"
"Belize","2013","46.6","21.9","17.8","9.6","4.1"
"Benin","2012","15.5","55.8","2.3","21.1","5.3"
"Bhutan","2013","94.9","1.7","0.0","3.4","0.0"
"Bolivia (Plurinational State of)","2013","56.1","9.9","0.9","32.5","0.6"
"Bosnia and Herzegovina","2013","52.6","9.1","11.0","27.3","0.0"
"Botswana","2013","67.6","0.0","0.0","27.3","5.1"
"Brazil","2012","23.5","28.0","3.3","19.7","25.5"
"Bulgaria","2013","62.9","8.7","5.2","18.1","5.2"
"Côte d'Ivoire","2013","22.0","22.0","2.0","35.0","19.0"
"Cambodia","2013","8.5","70.4","2.3","12.7","6.1"
"Canada","2012","66.6","8.4","2.5","15.7","6.7"
"Chile","2013","36.1","7.0","7.6","38.9","10.4"
